start_date_time;RCORR_E
2014-11-03 02:36:00;233.390
2014-11-03 02:37:00;237.520
2014-11-03 02:38:00;234.570
2014-11-03 02:39:00;230.560
2014-11-03 02:40:00;235.240
2014-11-03 02:41:00;233.410
2014-11-03 02:42:00;234.940
2014-11-03 02:43:00;237.270
2014-11-03 02:44:00;235.270
2014-11-03 02:45:00;233.940
2014-11-03 02:46:00;232.290
2014-11-03 02:47:00;234.420
2014-11-03 02:48:00;233.140
2014-11-03 02:49:00;236.170
2014-11-03 02:50:00;239.220
2014-11-03 02:51:00;243.480
2014-11-03 02:52:00;234.790
2014-11-03 02:53:00;236.820
2014-11-03 02:54:00;234.220
2014-11-03 02:55:00;231.390
2014-11-03 02:56:00;236.990
2014-11-03 02:57:00;233.460
2014-11-03 02:58:00;239.770
2014-11-03 02:59:00;227.380
2014-11-03 03:00:00;236.520
2014-11-03 03:01:00;232.210
2014-11-03 03:02:00;231.260
2014-11-03 03:03:00;231.560
2014-11-03 03:04:00;234.220
2014-11-03 03:05:00;232.240
2014-11-03 03:06:00;233.260
2014-11-03 03:07:00;234.720
2014-11-03 03:08:00;233.410
2014-11-03 03:09:00;236.570
2014-11-03 03:10:00;229.710
2014-11-03 03:11:00;242.370
2014-11-03 03:12:00;233.410
2014-11-03 03:13:00;233.610
2014-11-03 03:14:00;230.440
2014-11-03 03:15:00;235.390
2014-11-03 03:16:00;232.560
2014-11-03 03:17:00;233.610
2014-11-03 03:18:00;238.720
2014-11-03 03:19:00;237.470
2014-11-03 03:20:00;240.050
2014-11-03 03:21:00;232.760
2014-11-03 03:22:00;224.330
2014-11-03 03:23:00;228.730
2014-11-03 03:24:00;233.090
2014-11-03 03:25:00;240.070
2014-11-03 03:26:00;226.210
2014-11-03 03:27:00;235.970
2014-11-03 03:28:00;236.570
2014-11-03 03:29:00;231.510
2014-11-03 03:30:00;227.810
2014-11-03 03:31:00;228.980
2014-11-03 03:32:00;232.310
2014-11-03 03:33:00;232.710
2014-11-03 03:34:00;236.670
2014-11-03 03:35:00;239.670
2014-11-03 03:36:00;230.310
2014-11-03 03:37:00;236.290
2014-11-03 03:38:00;234.740
2014-11-03 03:39:00;238.340
2014-11-03 03:40:00;231.540
2014-11-03 03:41:00;239.150
2014-11-03 03:42:00;233.610
2014-11-03 03:43:00;230.560
2014-11-03 03:44:00;236.090
2014-11-03 03:45:00;229.010
